tf	tg
Carhsp1	Cyfip2
Carhsp1	Nadk
Carhsp1	Sdc1
Carhsp1	Sp4
Carhsp1	Terf2
Cdx4	2210010C04Rik
Cdx4	A530058N18Rik
Cdx4	AU040096
Cdx4	Abcc8
Cdx4	Acly
Cdx4	Adra2a
Cdx4	Ampd2
Cdx4	Baiap3
Cdx4	Bhlha15
Cdx4	Cabp7
Cdx4	Car10
Cdx4	Casr
Cdx4	Cdh8
Cdx4	Cdhr1
Cdx4	Cdk5rap3
Cdx4	Cel
Cdx4	Cela1
Cdx4	Cela2a
Cdx4	Cela3b
Cdx4	Chga
Cdx4	Chic1
Cdx4	Chid1
Cdx4	Chmp5
Cdx4	Clps
Cdx4	Cnpy2
Cdx4	Cpa1
Cdx4	Cpb1
Cdx4	Cplx2
Cdx4	Cryba2
Cdx4	Ctrb1
Cdx4	Ctrc
Cdx4	Ctrl
Cdx4	Ddc
Cdx4	Derl2
Cdx4	Dhdds
Cdx4	Ero1lb
Cdx4	Fam122a
Cdx4	Ficd
Cdx4	Fkbp1b
Cdx4	Fmn2
Cdx4	Fndc3a
Cdx4	G6pc2
Cdx4	Gad1
Cdx4	Galr1
Cdx4	Gcg
Cdx4	Gch1
Cdx4	Gjd2
Cdx4	Glp1r
Cdx4	Gmppa
Cdx4	Gmppb
Cdx4	Gnat2
Cdx4	Gng4
Cdx4	Gp2
Cdx4	Hyou1
Cdx4	Iapp
Cdx4	Ids
Cdx4	Il1r1
Cdx4	Ins1
Cdx4	Ins2
Cdx4	Insm1
Cdx4	Insrr
Cdx4	Isl1
Cdx4	Kcnab3
Cdx4	Kcnip1
Cdx4	Kcnmb2
Cdx4	Klk1b4
Cdx4	Klk1b5
Cdx4	Ldha
Cdx4	Lgi1
Cdx4	Lman1
Cdx4	Mapk8ip2
Cdx4	Mapkap1
Cdx4	Mdm1
Cdx4	Mia3
Cdx4	Mnx1
Cdx4	Myo15
Cdx4	Neurod1
Cdx4	Neurog3
Cdx4	Nkx2-2
Cdx4	Nkx6-1
Cdx4	Nucb2
Cdx4	Otoa
Cdx4	Pax6
Cdx4	Pclo
Cdx4	Pcsk1
Cdx4	Pcsk1n
Cdx4	Pcsk2
Cdx4	Pdia6
Cdx4	Pdx1
Cdx4	Pdyn
Cdx4	Pex5l
Cdx4	Pla2g1b
Cdx4	Pnlip
Cdx4	Pnliprp1
Cdx4	Pnliprp2
Cdx4	Ppy
Cdx4	Prepl
Cdx4	Prrc1
Cdx4	Prss2
Cdx4	Prss3
Cdx4	Ptprn
Cdx4	Ptprn2
Cdx4	Pycr2
Cdx4	Rab27a
Cdx4	Rab37
Cdx4	Rasgrf1
Cdx4	Rcan3
Cdx4	Reg1
Cdx4	Reg2
Cdx4	Reg3d
Cdx4	Resp18
Cdx4	Ret
Cdx4	Rnase1
Cdx4	Scg2
Cdx4	Scg3
Cdx4	Scg5
Cdx4	Scgn
Cdx4	Scn9a
Cdx4	Sdf2l1
Cdx4	Sec22b
Cdx4	Sec23b
Cdx4	Serpini2
Cdx4	Sez6l
Cdx4	Sez6l2
Cdx4	Slc2a2
Cdx4	Slc33a1
Cdx4	Slc35b1
Cdx4	Sntg1
Cdx4	Spcs3
Cdx4	Ssr1
Cdx4	Sst
Cdx4	Sstr3
Cdx4	St8sia3
Cdx4	Synpr
Cdx4	Syt13
Cdx4	Sytl4
Cdx4	T2
Cdx4	Th
Cdx4	Tm4sf4
Cdx4	Tmed11
Cdx4	Tmed3
Cdx4	Tmed8
Cdx4	Tmem163
Cdx4	Tmem27
Cdx4	Trp53i13
Cdx4	Trpm5
Cdx4	Tssc4
Cdx4	Uba5
Cdx4	Ufc1
Cdx4	Ufm1
Cdx4	Uggt1
Cdx4	Yipf2
Cdx4	Zdhhc2
Cdx4	0610007L01Rik
Cdx4	1110021J02Rik
Cdx4	1700057H21Rik
Cdx4	1700086L19Rik
Cdx4	1700106N22Rik
Cdx4	1810007D17Rik
Cdx4	1810018F18Rik
Cdx4	1810028F09Rik
Cdx4	1810058N05Rik
Cdx4	1810062G17Rik
Cdx4	2210019I11Rik
Cdx4	2410021H03Rik
Cdx4	2900001G08Rik
Cdx4	4930579K19Rik
Cdx4	4931431B13Rik
Cdx4	4933417E11Rik
Cdx4	5033417F24Rik
Cdx4	5330439B14Rik
Cdx4	5430439G13Rik
Cdx4	5830403M04Rik
Cdx4	6330415G19Rik
Cdx4	8430432A02Rik
Cdx4	9330182L06Rik
Cdx4	A230051N06Rik
Cdx4	A330008L17Rik
Cdx4	A330050F15Rik
Cdx4	A330076H08Rik
Cdx4	Adora3
Cdx4	AI428936
Cdx4	Amigo2
Cdx4	Arhgap36
Cdx4	B230112I24Rik
Cdx4	B830017H08Rik
Cdx4	BB187676
Cdx4	BB319198
Cdx4	C2cd4b
Cdx4	C2cd4c
Cdx4	Cdh7
Cdx4	Cerkl
Cdx4	Cib3
Cdx4	Copg
Cdx4	Ctxn2
Cdx4	Cxxc4
Cdx4	D17Wsu104e
Cdx4	D630024D03Rik
Cdx4	Dbpht2
Cdx4	Disp2
Cdx4	E130002L11Rik
Cdx4	Efcab1
Cdx4	Efhc2
Cdx4	Enho
Cdx4	Entpd3
Cdx4	Erp27
Cdx4	Fam101a
Cdx4	Fam159b
Cdx4	Fam183b
Cdx4	Fam190a
Cdx4	Gipr
Cdx4	Gm10941
Cdx4	Gm12500
Cdx4	Gm17733
Cdx4	Gm17739
Cdx4	Gm17767
Cdx4	Gm19451
Cdx4	Gm3924
Cdx4	Gm5126
Cdx4	Gm6658
Cdx4	Gpr158
Cdx4	Hapln4
Cdx4	Hist1h4j
Cdx4	Hs3st6
Cdx4	Kcnh8
Cdx4	Kcnk16
Cdx4	Kctd8
Cdx4	Klhl32
Cdx4	Lhfpl5
Cdx4	Lrp11
Cdx4	Mrgpre
Cdx4	Nbas
Cdx4	Nell1
Cdx4	Nipal1
Cdx4	Nol4
Cdx4	Npas4
Cdx4	Pappa2
Cdx4	Pax6os1
Cdx4	Pdia2
Cdx4	Pitpnm3
Cdx4	Ppp4r1l-ps
Cdx4	Prss53
Cdx4	Rab39b
Cdx4	Rims3
Cdx4	Sgsm1
Cdx4	Slc24a2
Cdx4	Slc30a8
Cdx4	Slc35d3
Cdx4	Slc7a14
Cdx4	Spnb4
Cdx4	St18
Cdx4	Stox1
Cdx4	Tmem215
Cdx4	Tmem90a
Cdx4	Tnr
Cdx4	Ucn3
Cdx4	Vmac
Cdx4	Vstm2l
Cdx4	Vwa5b2
